,Time,Date,Exchange,Symbol,Trade_Volume,Trade_Price,Sale_Condition,Source_of_Trade,Trade_Stop_Stock_Indicator,Trade_Correction_Indicator,Sequence_Number,Trade_Id,Trade_Reporting_Facility,Participant_Timestamp,Trade_Reporting_Facility_TRF_Timestamp,Trade_Through_Exempt_Indicator
0,2020-01-06 04:00:00.017754,2020-01-06,P,DIA,15,285.0,  TI,C,N,0,41401,52983525027891,,40000017591808,,0
1,2020-01-06 04:00:00.040087,2020-01-06,P,DIA,6,284.25,  TI,C,N,0,42301,52983525027894,,40000039940608,,0
2,2020-01-06 04:09:37.364256,2020-01-06,P,DIA,281,284.2, FT ,C,N,0,45901,52983525027923,,40937363898112,,1
3,2020-01-06 04:09:37.364285,2020-01-06,T,DIA,500,284.2, FT ,C,N,0,46001,3472338191832602203,,40937363633707,,1
4,2020-01-06 04:09:46.653987,2020-01-06,T,DIA,52,284.22,  TI,C,N,0,46201,3472338191832602214,,40946653359339,,0
5,2020-01-06 04:12:54.805148,2020-01-06,P,DIA,2,284.13,  TI,C,N,0,47701,52983525027925,,41254804952832,,0
6,2020-01-06 04:16:12.426310,2020-01-06,P,DIA,20,284.12, FTI,C,N,0,49301,52983525027926,,41612426009856,,1
7,2020-01-06 04:29:02.945121,2020-01-06,T,DIA,168,284.03, FT ,C,N,0,51001,3472338191832607854,,42902944380712,,1
8,2020-01-06 04:43:07.069483,2020-01-06,T,DIA,4,284.32, FTI,C,N,0,54901,3472338191832661567,,44307068837264,,1
9,2020-01-06 04:54:10.597107,2020-01-06,P,DIA,15,284.43, FTI,C,N,0,56001,52983525028178,,45410596795648,,1
10,2020-01-06 05:05:42.414331,2020-01-06,P,DIA,300,284.59, FT ,C,N,0,57601,52983525028406,,50542414081792,,1
11,2020-01-06 05:05:42.415663,2020-01-06,P,DIA,200,284.59, FT ,C,N,0,57701,52983525028407,,50542415506176,,1
12,2020-01-06 05:05:42.416068,2020-01-06,T,DIA,300,284.59, FT ,C,N,0,57801,3472338191832665709,,50542415490626,,1
13,2020-01-06 05:09:56.732187,2020-01-06,T,DIA,300,284.71, FT ,C,N,0,59301,3472338191832666687,,50956731546263,,1
14,2020-01-06 05:12:56.303235,2020-01-06,P,DIA,100,284.72, FT ,C,N,0,59501,52983525028417,,51256302921728,,1
15,2020-01-06 06:53:07.515755,2020-01-06,T,DIA,100,284.6, FT ,C,N,0,77501,3472338191832733506,,65307515060783,,1
16,2020-01-06 06:54:44.517836,2020-01-06,P,DIA,100,284.58, FT ,C,N,0,77901,52983525028681,,65444517526784,,1
17,2020-01-06 06:54:44.832868,2020-01-06,T,DIA,100,284.6, FT ,C,N,0,78001,3472338191832733778,,65444832209085,,1
18,2020-01-06 06:55:12.310728,2020-01-06,P,DIA,100,284.57, FT ,C,N,0,78201,52983525028682,,65512310424064,,1
19,2020-01-06 06:55:12.310755,2020-01-06,P,DIA,100,284.57, FT ,C,N,0,78301,52983525028683,,65512310424064,,1
20,2020-01-06 07:00:00.002582,2020-01-06,T,DIA,5,284.58, FTI,C,N,0,79301,3472338191832734539,,70000002015894,,1
21,2020-01-06 07:00:00.002624,2020-01-06,T,DIA,20,284.58, FTI,C,N,0,79501,3472338191832734544,,70000002097327,,1
