,Time,Date,Exchange,Symbol,Trade_Volume,Trade_Price,Sale_Condition,Source_of_Trade,Trade_Stop_Stock_Indicator,Trade_Correction_Indicator,Sequence_Number,Trade_Id,Trade_Reporting_Facility,Participant_Timestamp,Trade_Reporting_Facility_TRF_Timestamp,Trade_Through_Exempt_Indicator
744,2023-01-03 04:01:09.712465,2023-01-03,Q,GOOG,1,89.6,@FTI,N,,0,3386,1, ,40109712448921,,1
745,2023-01-03 04:01:09.714769,2023-01-03,Q,GOOG,100,89.56,@FT ,N,,0,3388,2, ,40109714754451,,1
746,2023-01-03 04:01:12.077741,2023-01-03,Q,GOOG,100,89.56,@FT ,N,,0,3400,3, ,40112077724510,,1
747,2023-01-03 04:01:12.083307,2023-01-03,Q,GOOG,80,89.55,@ TI,N,,0,3403,4, ,40112083292786,,0
748,2023-01-03 04:01:12.097914,2023-01-03,Q,GOOG,20,89.55,@ TI,N,,0,3407,5, ,40112097898725,,0
749,2023-01-03 04:01:12.098144,2023-01-03,Q,GOOG,2,89.55,@FTI,N,,0,3408,6, ,40112098130171,,1
750,2023-01-03 04:01:31.504132,2023-01-03,Q,GOOG,36,89.6,@FTI,N,,0,3625,7, ,40131504113751,,1
751,2023-01-03 04:01:31.504134,2023-01-03,Q,GOOG,30,89.6,@FTI,N,,0,3626,8, ,40131504113751,,1
752,2023-01-03 04:01:31.504137,2023-01-03,Q,GOOG,34,89.67,@FTI,N,,0,3627,9, ,40131504113751,,1
753,2023-01-03 04:01:31.504141,2023-01-03,Q,GOOG,10,89.68,@FTI,N,,0,3628,10, ,40131504113751,,1
754,2023-01-03 04:01:31.504150,2023-01-03,Q,GOOG,34,89.69,@FTI,N,,0,3629,11, ,40131504113751,,1
755,2023-01-03 04:01:31.504152,2023-01-03,Q,GOOG,1,89.7,@FTI,N,,0,3630,12, ,40131504113751,,1
756,2023-01-03 04:01:31.504156,2023-01-03,Q,GOOG,1,89.7,@FTI,N,,0,3631,13, ,40131504113751,,1
