,Time,Date,Exchange,Symbol,Trade_Volume,Trade_Price,Sale_Condition,Source_of_Trade,Trade_Stop_Stock_Indicator,Trade_Correction_Indicator,Sequence_Number,Trade_Id,Trade_Reporting_Facility,Participant_Timestamp,Trade_Reporting_Facility_TRF_Timestamp,Trade_Through_Exempt_Indicator
302,2023-01-03 04:00:00.014169,2023-01-03,K,GOOG,8,89.4,@ TI,N,,0,2494,1, ,40000000403000,,0
303,2023-01-03 04:00:00.017435,2023-01-03,K,GOOG,3,89.0,@ TI,N,,0,2507,2, ,40000000403000,,0
304,2023-01-03 04:00:00.017443,2023-01-03,K,GOOG,7,89.0,@ TI,N,,0,2508,3, ,40000000403000,,0
305,2023-01-03 04:00:00.017448,2023-01-03,K,GOOG,2,89.0,@ TI,N,,0,2509,4, ,40000000403000,,0
306,2023-01-03 04:00:00.017454,2023-01-03,K,GOOG,1,88.6,@ TI,N,,0,2510,5, ,40000000403000,,0
307,2023-01-03 04:00:00.017460,2023-01-03,K,GOOG,1,88.6,@ TI,N,,0,2511,6, ,40000000403000,,0
308,2023-01-03 04:00:00.017470,2023-01-03,K,GOOG,8,88.5,@ TI,N,,0,2512,7, ,40000000403000,,0
309,2023-01-03 04:00:00.017474,2023-01-03,K,GOOG,7,88.5,@ TI,N,,0,2513,8, ,40000000403000,,0
310,2023-01-03 04:00:00.017479,2023-01-03,K,GOOG,3,88.5,@ TI,N,,0,2514,9, ,40000000403000,,0
311,2023-01-03 04:00:00.017485,2023-01-03,K,GOOG,11,88.5,@ TI,N,,0,2515,10, ,40000000403000,,0
312,2023-01-03 04:00:00.017509,2023-01-03,K,GOOG,6,88.0,@ TI,N,,0,2516,11, ,40000000403000,,0
313,2023-01-03 04:00:00.018349,2023-01-03,K,GOOG,10,88.95,@ TI,N,,0,2517,12, ,40000000403000,,0
314,2023-01-03 04:00:00.018349,2023-01-03,K,GOOG,1,89.2,@ TI,N,,0,2518,13, ,40000000403000,,0
315,2023-01-03 04:00:00.018350,2023-01-03,K,GOOG,1,89.3,@ TI,N,,0,2519,14, ,40000000403000,,0
316,2023-01-03 04:00:00.018350,2023-01-03,K,GOOG,6,89.4,@ TI,N,,0,2520,15, ,40000000403000,,0
317,2023-01-03 04:00:00.018364,2023-01-03,K,GOOG,280,89.0,@ T ,N,,0,2521,16, ,40000000403000,,0
318,2023-01-03 04:00:00.018369,2023-01-03,K,GOOG,280,89.0,@ T ,N,,0,2522,17, ,40000000403000,,0
319,2023-01-03 04:00:00.018372,2023-01-03,K,GOOG,280,89.0,@ T ,N,,0,2523,18, ,40000000403000,,0
320,2023-01-03 04:00:00.018375,2023-01-03,K,GOOG,279,89.0,@ T ,N,,0,2524,19, ,40000000403000,,0
321,2023-01-03 04:00:00.018381,2023-01-03,K,GOOG,7,89.0,@ TI,N,,0,2525,20, ,40000000403000,,0
322,2023-01-03 04:00:00.018611,2023-01-03,K,GOOG,1,89.0,@ TI,N,,0,2526,21, ,40000000403000,,0
323,2023-01-03 04:00:00.018912,2023-01-03,K,GOOG,1,88.99,@ TI,N,,0,2527,22, ,40000000403000,,0
324,2023-01-03 04:00:00.018973,2023-01-03,K,GOOG,1,89.0,@ TI,N,,0,2528,23, ,40000000403000,,0
325,2023-01-03 04:00:00.019628,2023-01-03,K,GOOG,1,88.99,@ TI,N,,0,2529,24, ,40000000403000,,0
326,2023-01-03 04:00:00.019711,2023-01-03,K,GOOG,5,89.0,@ TI,N,,0,2530,25, ,40000000403000,,0
327,2023-01-03 04:00:00.019733,2023-01-03,K,GOOG,554,89.0,@ T ,N,,0,2531,26, ,40000000403000,,0
68,2023-01-03 04:00:00.020689,2023-01-03,P,GOOG,12,89.52,@ TI,N,,0,2536,1, ,40000020347648,,0
328,2023-01-03 04:00:00.046661,2023-01-03,K,GOOG,318,89.0,@FT ,N,,0,2629,27, ,40000046417000,,1
329,2023-01-03 04:00:00.046667,2023-01-03,K,GOOG,282,89.4,@FT ,N,,0,2630,28, ,40000046417000,,1
330,2023-01-03 04:00:00.046988,2023-01-03,K,GOOG,204,89.4,@FT ,N,,0,2631,29, ,40000046445000,,1
69,2023-01-03 04:00:00.520287,2023-01-03,P,GOOG,100,89.52,@FT ,N,,0,2660,2, ,40000519945728,,1
70,2023-01-03 04:00:01.802610,2023-01-03,P,GOOG,1,89.61,@ TI,N,,0,2704,3, ,40001802267648,,0
71,2023-01-03 04:00:02.500197,2023-01-03,P,GOOG,2,89.55,@ TI,N,,0,2714,4, ,40002499852288,,0
72,2023-01-03 04:00:03.678821,2023-01-03,P,GOOG,2,89.55,@ TI,N,,0,2735,5, ,40003678478080,,0
